method,catalog_entries,clients,attempts,successes,timeouts,errors,timeout_pct,error_pct,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,throughput_ops_per_s,source
"put",512,50,200,183,0,17,0,8.500,7798.732,491.440,7691.370,8410.252,8414.272,5.800,"independent"
"put",512,56,504,504,0,0,0,0,10939.883,667.756,10666.366,12129.939,12361.191,5.057,"json"
"put",512,64,512,512,0,0,0,0,12568.736,816.372,12329.536,14138.572,14157.577,5.024,"json"
"put",512,96,576,576,0,0,0,0,17378.970,3216.724,16068.555,24836.493,24849.000,5.430,"json"
"put",512,128,512,267,239,6,46.680,1.172,29054.063,599.888,28611.953,29850.945,29877.734,2.167,"json"
"put",512,256,512,70,256,186,50,36.328,22140.379,88.073,22091.339,22322.912,22325.060,1.337,"json"
"put",1024,8,504,504,0,0,0,0,1321.693,128.973,1275.979,1622.367,1813.004,6.016,"json"
"put",1024,16,512,512,0,0,0,0,2794.344,277.207,2700.800,3236.044,3612.195,5.682,"json"
"put",1024,24,504,504,0,0,0,0,4584.416,408.418,4564.275,5248.483,5513.162,5.180,"json"
"put",1024,32,512,512,0,0,0,0,6003.834,493.229,5812.680,7007.170,7089.499,5.265,"json"
"put",1024,40,520,497,0,23,0,4.423,8549.694,865.485,8509.330,10519.738,10605.763,4.433,"json"
"put",1024,48,528,528,0,0,0,0,10338.997,546.273,10346.824,11380.372,11595.390,4.604,"json"
"put",1024,56,504,504,0,0,0,0,11345.445,951.539,11217.857,13544.697,13553.291,4.868,"json"
"put",1024,64,512,512,0,0,0,0,14153.722,957.214,13799.172,16138.286,16163.924,4.448,"json"
"put",1024,96,576,504,0,72,0,12.500,20598.880,3261.279,20064.547,25916.104,26242.419,4.280,"json"
"put",1024,128,512,90,312,110,60.938,21.484,24306.047,5284.215,27208.596,28442.376,29783.597,0.809,"json"
"put",1024,192,576,19,326,231,56.597,40.104,21452.250,41.571,21484.354,21494.080,21494.080,0.163,"json"
"put",2048,8,504,504,0,0,0,0,2189.744,90.151,2189.325,2359.904,2484.019,3.617,"json"
"put",2048,16,512,512,0,0,0,0,4579.042,178.256,4557.906,4773.015,5475.060,3.448,"json"
"put",2048,24,504,492,0,12,0,2.381,6946.634,157.900,6953.442,7103.672,7468.679,3.340,"json"
"put",2048,32,512,512,0,0,0,0,9416.217,173.519,9405.806,9803.586,9853.453,3.368,"json"
"put",2048,40,520,495,0,25,0,4.808,11488.983,220.274,11463.307,11900.252,12028.586,3.286,"json"
"put",2048,48,528,528,0,0,0,0,14553.403,371.020,14483.438,15178.540,15531.281,3.266,"json"
"put",2048,56,504,500,0,4,0,0.794,17372.459,821.529,17265.989,18733.556,18888.213,3.173,"json"
